Date,Symbols,Close,Change
29.06.16,MCD,103.62,1.00835425
29.06.16,MMM,145.7,1.011380464
29.06.16,MRK,47.745,1.026448391
29.06.16,MSFT,46.291,1.02224914
29.06.16,NKE,51.891,1.038425215
29.06.16,PG,70.856,1.017584161
29.06.16,TRV,102.06,1.023481937
29.06.16,UNH,128.84,1.013048833
29.06.16,V,73.887,1.021021595
29.06.16,VZ,42.135,1.004378102
29.06.16,WBA,69.886,1.0414373
29.06.16,WMT,64.317,1.013284701
30.06.16,AAPL,22.234,1.012711817
30.06.16,AMGN,129.01,1.013657375
30.06.16,AXP,55.829,1.018950254
30.06.16,BA,118.5,1.022678946
30.06.16,CAT,64.723,1.02128502
30.06.16,CRM,79.41,1.00518992
30.06.16,CSCO,23.83,1.015215638
30.06.16,CVX,81.345,1.013633991
30.06.16,DIS,92.287,1.00866145
30.06.16,GE,230.29,1.030441808
30.06.16,GS,134.35,1.021168419
30.06.16,HD,111.86,1.002512299
30.06.16,HON,103.42,1.016250236
30.06.16,IBM,117.18,1.022362984
30.06.16,INTC,28.222,1.027247328
30.06.16,JNJ,104.2,1.016508974
30.06.16,JPM,52.699,1.015359326
30.06.16,KO,37.593,1.020026998
30.06.16,MCD,104.35,1.007113471
30.06.16,MMM,148.78,1.020988607
